session_id,candidate_id,candidate_name,exam_title,status,started_at,ended_at,duration_minutes,score,risk_label,tab_switch_count,focus_loss_count,face_absent_seconds,multi_face_count,audio_spike_count,face_presence_ratio
1,3,Angie Henderson,Data Structures Midterm,submitted,2026-09-03 21:56:34.543479,2026-09-03 22:41:34.543479,45,82.33,Low,1,0,22,0,1,0.9919
2,4,Olivia Moore,Networks Final,submitted,2026-09-06 09:43:10.174241,2026-09-06 10:28:10.174241,45,84.17,Low,1,0,11,0,1,0.9959
3,4,Olivia Moore,Data Structures Midterm,submitted,2026-09-03 22:40:38.442048,2026-09-03 23:40:38.442048,60,66.67,Medium,2,2,8,0,1,0.9978
4,5,Thomas Miller,Networks Final,submitted,2026-09-05 21:24:27.227784,2026-09-05 22:09:27.227784,45,91.67,Low,0,1,20,0,0,0.9926
5,5,Thomas Miller,ML Basics Test,submitted,2026-09-09 14:30:00.620427,2026-09-09 15:15:00.620427,45,91.5,Low,0,0,15,0,1,0.9944
6,6,Holly Wood,Data Structures Midterm,submitted,2026-08-26 08:23:08.496166,2026-08-26 09:23:08.496166,60,0.0,High,4,6,109,1,2,0.9697
7,7,Crystal Johnson,ML Basics Test,submitted,2026-08-22 22:46:13.836433,2026-08-22 23:31:13.836433,45,0.0,High,6,7,80,0,3,0.9704
8,8,Kimberly Burgess,DBMS Quiz,submitted,2026-08-25 10:57:48.858840,2026-08-25 11:42:48.858840,45,0.0,High,14,11,184,2,7,0.9319
9,8,Kimberly Burgess,DBMS Quiz,submitted,2026-08-24 23:02:02.352354,2026-08-24 23:47:02.352354,45,0.0,High,9,10,406,3,6,0.8496
10,9,Arthur James,Networks Final,submitted,2026-09-04 06:45:01.639328,2026-09-04 07:30:01.639328,45,0.0,High,10,9,359,2,4,0.867
11,9,Arthur James,ML Basics Test,submitted,2026-09-02 06:38:50.465696,2026-09-02 07:23:50.465696,45,0.0,High,10,11,215,3,5,0.9204
12,10,Sherri Baker,Python Assessment,submitted,2026-08-26 16:52:08.590352,2026-08-26 17:37:08.590352,45,21.0,High,5,4,78,0,1,0.9711
13,10,Sherri Baker,Data Structures Midterm,submitted,2026-09-04 20:25:59.696798,2026-09-04 21:55:59.696798,90,11.33,High,3,6,82,1,1,0.9848
14,11,Katherine Rodriguez,Networks Final,submitted,2026-09-06 03:10:57.918262,2026-09-06 04:40:57.918262,90,0.0,High,6,5,141,1,3,0.9739
15,12,Deborah Brennan,DBMS Quiz,submitted,2026-08-25 17:59:20.657753,2026-08-25 18:59:20.657753,60,77.67,Low,2,1,8,0,0,0.9978
16,12,Deborah Brennan,Data Structures Midterm,submitted,2026-09-03 02:22:55.485971,2026-09-03 03:52:55.485971,90,72.17,Low,2,1,5,0,1,0.9991
17,13,Crystal Robinson,Python Assessment,submitted,2026-09-05 18:31:52.750250,2026-09-05 19:31:52.750250,60,0.0,High,5,6,63,1,2,0.9825
18,14,Laura Kennedy,Data Structures Midterm,submitted,2026-08-24 17:42:15.161656,2026-08-24 18:27:15.161656,45,0.0,High,5,6,87,1,2,0.9678
19,14,Laura Kennedy,Python Assessment,submitted,2026-09-07 03:04:42.807749,2026-09-07 03:49:42.807749,45,13.67,High,4,6,74,0,2,0.9726
20,15,Rebecca Rodriguez,DBMS Quiz,submitted,2026-09-09 21:23:23.621013,2026-09-09 22:08:23.621013,45,0.0,High,3,7,104,1,3,0.9615
21,16,Brandon Molina,Networks Final,submitted,2026-08-24 14:46:12.907438,2026-08-24 15:46:12.907438,60,69.83,Medium,2,2,25,0,0,0.9931
22,16,Brandon Molina,ML Basics Test,submitted,2026-08-23 01:11:11.703297,2026-08-23 02:41:11.703297,90,72.0,Low,2,1,6,0,1,0.9989
23,17,Michael Cross,ML Basics Test,submitted,2026-08-28 11:43:47.012398,2026-08-28 12:43:47.012398,60,72.67,Low,2,1,38,0,0,0.9894
